"","group_no","loc_code","method","donorsites"
"120",120,"MCN_still_1","rebar","Sandy Point"
"121",121,"MCN_still_2","rebar","Sandy Point"
"122",122,"MCN_still_2","staple","Sandy Point"
"123",123,"MCN_north_2","rebar","Thompson Cove"
"124",124,"MCN_North_3","rebar","Thompson Cove"
"125",125,"MCN_south_L2","rebar","Thompson Cove"
"126",126,"MCN_south_L1","rebar","Thompson Cove"
"127",127,"MCN_south_L3","rebar","Thompson Cove"
"128",128,"MIL_1","rebar","Creosote Point"
"129",129,"MIL_3","rebar","Creosote Point"
"130",130,"MRE_1","rebar","DuPont Wharf"
"131",131,"MRE_1","rebar","Dumas Bay"
"132",132,"MRE_2","rebar","DuPont Wharf"
"133",133,"MRE_2","rebar","DuPont Wharf"
"134",134,"OST","staple","Creosote Point"
"135",135,"OTB_1","rebar","DuPont Wharf"
"136",136,"PEN_L1","burlap","Rocky Bay"
"137",137,"PTG_5","staple","Point Julia"
"138",138,"PTG_2","staple","Point Julia"
"139",139,"PTG_3","staple","Point Julia"
"140",140,"PTG_4","staple","Point Julia"
"141",141,"PTG_1","staple","Point Julia"
"142",142,"PTG_6","staple","Point Julia"
"143",143,"PTG_P1","staple","Point Julia"
"144",144,"PTG_P2","staple","Point Julia"
"145",145,"PTG_P3","staple","Point Julia"
"146",146,"PTG_P4","staple","Point Julia"
"147",147,"QMH_1S","rebar","Dumas Bay"
"148",148,"QMH_1D","rebar","Dumas Bay"
"149",149,"QMH_4S","rebar","Dumas Bay"
"150",150,"QMH_4D","rebar","Dumas Bay"
"151",151,"QMH_5S","rebar","Dumas Bay"
"152",152,"QMH_5D","rebar","Dumas Bay"
"153",153,"QMH_2D","rebar","Dumas Bay"
"154",154,"QMH_3S","rebar","Dumas Bay"
"155",155,"QMH_3D","rebar","Dumas Bay"
"156",156,"QMH_4S","rebar","DuPont Wharf"
"157",157,"QMH_4S","rebar","Dumas Bay"
"158",158,"QMH_4S","rebar","DuPont Wharf"
"159",159,"QMH_5a","rebar","DuPont Wharf"
"160",160,"QMH_5a","rebar","Dumas Bay"
"161",161,"QMH_4S","rebar","DuPont Wharf"
"162",162,"QMH_4S","TERFS","DuPont Wharf"
"163",163,"QLC01","staple","Quilcene Bay"
"164",164,"QLC_north1","staple","Quilcene Bay"
"165",165,"QLC_north2","staple","Quilcene Bay"
"166",166,"QLC_north3","staple","Quilcene Bay"
"167",167,"QLC_mid1","staple","Quilcene Bay"
"168",168,"QLC_mid2","staple","Quilcene Bay"
"169",169,"QLC_mid3","staple","Quilcene Bay"
"170",170,"QLC_south1","staple","Quilcene Bay"
"171",171,"QLC_south2","staple","Quilcene Bay"
"172",172,"QLC_south3","staple","Quilcene Bay"
"173",173,"SHB_1","rebar","Shine Beach"
"174",174,"SKG_1","rebar","Skagit Bay"
"175",175,"SKG_2","rebar","Skagit Bay"
"176",176,"SKG_5","rebar","Skagit Bay"
"177",177,"SKG_6","rebar","Skagit Bay"
"178",178,"STI","staple","Windy Bluff"
"179",179,"TAY_L1","burlap","Rocky Bay"
"180",180,"WES_east","staple","PNNL - MSL Tanks"
"181",181,"WES_west","staple","PNNL - MSL Tanks"
"182",182,"WES_A","rebar","Bell Point, Stuart Island"
"183",183,"WES_B","rebar","Bell Point"
"184",184,"WES_C","rebar","Mitchell Bay"
"185",185,"WES_D","rebar","Henry Island"
"186",186,"WES_test_1","rebar","Dumas Bay"
"187",187,"WES_test_1","rebar","Fay Bainbridge"
"188",188,"WES_test_1","rebar","Henry Island"
"189",189,"WES_test_1","rebar","Ship Harbor"
"190",190,"WES_test_1","rebar","Mixed"
"191",191,"ZAN_1","staple","Thompson Cove"
"192",192,"ZAN_P1","staple","Thompson Cove"
"193",193,"ZAN_2","staple","Thompson Cove"
"194",194,"ZAN_3","rebar","DuPont Wharf"
"195",195,"ZAN_4","rebar","DuPont Wharf"
